epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,424.357,0.35191,0.38862,0.95953,0.96588,0.91434,0.97909,0.80419,0.64109,0.54083,1.23421,0.000184959,0.000184959,0.000184959
75,430.178,0.32336,0.36335,0.94195,0.96141,0.9191,0.97024,0.81011,0.65085,0.51723,1.21595,0.000178356,0.000178356,0.000178356
76,436.102,0.33,0.3582,0.95174,0.93925,0.92352,0.96911,0.78546,0.6356,0.51216,1.20992,0.000171752,0.000171752,0.000171752
77,441.934,0.32714,0.37644,0.95066,0.944,0.9179,0.9777,0.81979,0.59565,0.5533,1.18404,0.000165149,0.000165149,0.000165149
78,447.755,0.34069,0.37247,0.95609,0.95076,0.87583,0.98823,0.82188,0.59613,0.57011,1.18969,0.000158546,0.000158546,0.000158546
79,453.684,0.31515,0.34669,0.93331,0.95593,0.87945,0.96901,0.82191,0.57964,0.5276,1.16624,0.000151943,0.000151943,0.000151943
80,459.478,0.32069,0.34233,0.94273,0.94517,0.89411,0.95981,0.8021,0.60085,0.55899,1.17212,0.000145339,0.000145339,0.000145339
81,465.27,0.32503,0.33685,0.9474,0.94981,0.91367,0.96334,0.79986,0.61239,0.56821,1.19404,0.000138736,0.000138736,0.000138736
82,471.227,0.31112,0.3417,0.93023,0.9335,0.93259,0.97243,0.79138,0.62042,0.51792,1.18662,0.000132133,0.000132133,0.000132133
83,477.058,0.31998,0.33644,0.95593,0.89558,0.94161,0.94944,0.79918,0.62391,0.56158,1.19664,0.000125529,0.000125529,0.000125529
84,482.868,0.31411,0.34417,0.93983,0.90974,0.9264,0.94878,0.79979,0.66233,0.54787,1.24367,0.000118926,0.000118926,0.000118926
85,488.718,0.30074,0.33137,0.9397,0.93044,0.9166,0.95027,0.77639,0.68239,0.56057,1.28095,0.000112323,0.000112323,0.000112323
86,494.463,0.30265,0.32806,0.93409,0.95493,0.89656,0.95516,0.77537,0.66901,0.53818,1.25712,0.00010572,0.00010572,0.00010572
87,500.354,0.28653,0.30121,0.92282,0.96889,0.92001,0.96757,0.79405,0.65415,0.5078,1.23668,9.91162e-05,9.91162e-05,9.91162e-05
88,506.188,0.30043,0.3325,0.93692,0.94841,0.91598,0.96643,0.80291,0.62135,0.50112,1.19418,9.25129e-05,9.25129e-05,9.25129e-05
89,512.156,0.30166,0.32716,0.93741,0.95573,0.9196,0.96487,0.82095,0.58272,0.50516,1.15757,8.59096e-05,8.59096e-05,8.59096e-05
90,517.931,0.28035,0.30555,0.92462,0.93561,0.92335,0.96226,0.80397,0.61146,0.51583,1.19679,7.93063e-05,7.93063e-05,7.93063e-05
91,554.063,0.21401,0.3158,0.85965,0.94592,0.9112,0.97212,0.81483,0.59894,0.49531,1.1828,7.2703e-05,7.2703e-05,7.2703e-05
92,559.661,0.19493,0.29909,0.85745,0.94817,0.91796,0.97236,0.82216,0.59489,0.48649,1.1942,6.60997e-05,6.60997e-05,6.60997e-05
93,565.211,0.18799,0.28118,0.85372,0.94603,0.92274,0.95784,0.79735,0.61974,0.50569,1.21667,5.94964e-05,5.94964e-05,5.94964e-05
94,570.7,0.18718,0.28722,0.85075,0.96126,0.93332,0.96274,0.81872,0.62433,0.50234,1.22643,5.28931e-05,5.28931e-05,5.28931e-05
95,576.109,0.17892,0.27987,0.85606,0.95951,0.93,0.96227,0.8079,0.62881,0.51149,1.22022,4.62898e-05,4.62898e-05,4.62898e-05
96,581.633,0.18419,0.27813,0.84814,0.97166,0.93,0.96293,0.81852,0.61996,0.50484,1.21473,3.96865e-05,3.96865e-05,3.96865e-05
97,587.184,0.18336,0.26927,0.84742,0.97459,0.93,0.95852,0.82069,0.60754,0.49304,1.20891,3.30832e-05,3.30832e-05,3.30832e-05
98,592.682,0.17412,0.26587,0.84472,0.97746,0.9297,0.9624,0.81926,0.60281,0.48757,1.2074,2.64799e-05,2.64799e-05,2.64799e-05
99,598.197,0.17586,0.25948,0.82793,0.96616,0.91028,0.97166,0.8155,0.60867,0.49925,1.21789,1.98766e-05,1.98766e-05,1.98766e-05
100,603.705,0.16987,0.25602,0.82993,0.97102,0.909,0.96402,0.82011,0.60775,0.49346,1.21719,1.32733e-05,1.32733e-05,1.32733e-05
